trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000002745_ZBMD,8.55136,1,ENSG00000002745,ZBMD
ENSG00000012048_Breast_cancer,32.0374,1,ENSG00000012048,Breast_cancer
ENSG00000015520_IRNT_LDL,19.9626,1,ENSG00000015520,IRNT_LDL
ENSG00000019186_IRNT_Ca,10.0867,1,ENSG00000019186,IRNT_Ca
ENSG00000023839_IRNT_biliru,21.1325,1,ENSG00000023839,IRNT_biliru
ENSG00000036828_IRNT_Ca,76.0529,1,ENSG00000036828,IRNT_Ca
ENSG00000068078_IRNT_height,9.98441,1,ENSG00000068078,IRNT_height
ENSG00000083093_Breast_cancer,20.4198,1,ENSG00000083093,Breast_cancer
ENSG00000084674_IRNT_LDL,272.996,1,ENSG00000084674,IRNT_LDL
ENSG00000084674_IRNT_TG,131.136,1,ENSG00000084674,IRNT_TG
ENSG00000096968_IRNT_RBC,8.35561,1,ENSG00000096968,IRNT_RBC
ENSG00000101076_T2D,9.33454,1,ENSG00000101076,T2D
ENSG00000101310_IRNT_RBC,8.49629,1,ENSG00000101310,IRNT_RBC
ENSG00000102893_IRNT_height,9.17532,1,ENSG00000102893,IRNT_height
ENSG00000105610_IRNT_RBC,16.5646,1,ENSG00000105610,IRNT_RBC
ENSG00000106633_IRNT_glu,73.6198,1,ENSG00000106633,IRNT_glu
ENSG00000106633_T2D,35.4406,1,ENSG00000106633,T2D
ENSG00000108821_ZBMD,11.3515,1,ENSG00000108821,ZBMD
ENSG00000110243_IRNT_TG,65.1976,1,ENSG00000110243,IRNT_TG
ENSG00000111252_IRNT_RBC,27.0258,1,ENSG00000111252,IRNT_RBC
ENSG00000112964_IRNT_height,12.659,1,ENSG00000112964,IRNT_height
ENSG00000113161_IRNT_LDL,8.98112,1,ENSG00000113161,IRNT_LDL
ENSG00000125084_ZBMD,17.2746,1,ENSG00000125084,ZBMD
ENSG00000130164_Hypercholesterolemia,44.415,1,ENSG00000130164,Hypercholesterolemia
ENSG00000130164_IRNT_LDL,63.2332,1,ENSG00000130164,IRNT_LDL
ENSG00000130427_IRNT_RBC,8.56013,1,ENSG00000130427,IRNT_RBC
ENSG00000132855_IRNT_LDL,31.581,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,101.506,1,ENSG00000132855,IRNT_TG
ENSG00000135517_Cataract,31.5454,1,ENSG00000135517,Cataract
ENSG00000135766_IRNT_RBC,16.6682,1,ENSG00000135766,IRNT_RBC
ENSG00000136068_IRNT_height,13.2903,1,ENSG00000136068,IRNT_height
ENSG00000139618_Breast_cancer,76.0314,1,ENSG00000139618,Breast_cancer
ENSG00000139618_Cancer_of_prostate,10.6917,1,ENSG00000139618,Cancer_of_prostate
ENSG00000140470_IRNT_height,56.4865,1,ENSG00000140470,IRNT_height
ENSG00000142303_IRNT_height,19.5929,1,ENSG00000142303,IRNT_height
ENSG00000143627_IRNT_RBC,22.9823,1,ENSG00000143627,IRNT_RBC
ENSG00000145730_T2D,17.2038,1,ENSG00000145730,T2D
ENSG00000149311_Breast_cancer,12.1382,1,ENSG00000149311,Breast_cancer
ENSG00000149311_Cancer_of_prostate,7.37875,1,ENSG00000149311,Cancer_of_prostate
ENSG00000152254_IRNT_glu,171.427,1,ENSG00000152254,IRNT_glu
ENSG00000155657_Atrial_fibrillation,31.2186,1,ENSG00000155657,Atrial_fibrillation
ENSG00000159184_Cancer_of_prostate,36.716,1,ENSG00000159184,Cancer_of_prostate
ENSG00000159899_IRNT_height,53.3589,1,ENSG00000159899,IRNT_height
ENSG00000162337_ZBMD,24.1366,1,ENSG00000162337,ZBMD
ENSG00000164756_IRNT_glu,12.2033,1,ENSG00000164756,IRNT_glu
ENSG00000166147_IRNT_height,8.75575,1,ENSG00000166147,IRNT_height
ENSG00000166603_IRNT_BMI,27.5965,1,ENSG00000166603,IRNT_BMI
ENSG00000167941_ZBMD,13.9082,1,ENSG00000167941,ZBMD
ENSG00000168056_IRNT_height,19.1732,1,ENSG00000168056,IRNT_height
ENSG00000169174_Hypercholesterolemia,7.67315,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_LDL,184.677,1,ENSG00000169174,IRNT_LDL
ENSG00000170374_ZBMD,9.2509,1,ENSG00000170374,ZBMD
ENSG00000175445_IRNT_TG,24.663,1,ENSG00000175445,IRNT_TG
ENSG00000183765_Breast_cancer,29.2408,1,ENSG00000183765,Breast_cancer
ENSG00000183765_Cancer_of_prostate,12.1248,1,ENSG00000183765,Cancer_of_prostate
ENSG00000241635_IRNT_biliru,41.2418,1,ENSG00000241635,IRNT_biliru
ENSG00000242366_IRNT_biliru,32.4399,1,ENSG00000242366,IRNT_biliru
